"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
13457357,"59_VG_Fem_A.mp3",59,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"63_VG_Male_B.mp3",63,"list_1","bicultural viet-german","vietdeutsch",3,1,"monocultural german",2.85,,,
13457357,"31_G_Male_D.mp3",31,"list_1","monocultural german","deutsch",5,1,"monocultural german",2.85,,,
13457357,"39_VG_Fem_C.mp3",39,"list_1","bicultural viet-german","deutsch",2,0,"monocultural german",2.85,,,
13457357,"51_G_Male_D.mp3",51,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"14_VG_Fem_C.mp3",14,"list_1","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.85,,,
13457357,"40_VG_Fem_B.mp3",40,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"55_VG_Fem_D.mp3",55,"list_1","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.85,,,
13457357,"28_G_Fem_C.mp3",28,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"62_VG_Male_C.mp3",62,"list_1","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.85,,,
13457357,"49_G_Fem_B.mp3",49,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"38_VG_Fem_D.mp3",38,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"2_G_Fem_D.mp3",2,"list_1","monocultural german","deutsch",5,1,"monocultural german",2.85,,,
13457357,"45_VG_Male_A.mp3",45,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"61_VG_Male_D.mp3",61,"list_1","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.85,,,
13457357,"4_G_Fem_B.mp3",4,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"29_G_Fem_B.mp3",29,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"50_G_Fem_A.mp3",50,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"3_G_Fem_C.mp3",3,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"43_VG_Male_C.mp3",43,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"48_G_Fem_C.mp3",48,"list_1","monocultural german","deutsch",2,1,"monocultural german",2.85,,,
13457357,"30_G_Fem_A.mp3",30,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"42_VG_Male_D.mp3",42,"list_1","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.85,,,
13457357,"7_G_Male_C.mp3",7,"list_1","monocultural german","vietdeutsch",2,0,"monocultural german",2.85,,,
13457357,"5_G_Fem_A.mp3",5,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"23_VG_Male_B.mp3",23,"list_1","bicultural viet-german","vietdeutsch",4,1,"monocultural german",2.85,,,
13457357,"41_VG_Fem_A.mp3",41,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"10_G_Male_A.mp3",10,"list_1","monocultural german","deutsch",3,1,"monocultural german",2.85,,,
13457357,"35_G_Male_B.mp3",35,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"57_VG_Fem_B.mp3",57,"list_1","bicultural viet-german","vietdeutsch",3,1,"monocultural german",2.85,,,
13457357,"53_G_Male_B.mp3",53,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"1_VG_Male_A.mp3",1,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"26_VG_Male_A.mp3",26,"list_1","bicultural viet-german","deutsch",2,0,"monocultural german",2.85,,,
13457357,"27_G_Fem_D.mp3",27,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"54_G_Male_A.mp3",54,"list_1","monocultural german","vietdeutsch",4,0,"monocultural german",2.85,,,
13457357,"8_G_Male_B.mp3",8,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"11_VG_Fem_D.mp3",11,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"18_VG_Male_D.mp3",18,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
13457357,"15_VG_Fem_B.mp3",15,"list_1","bicultural viet-german","vietdeutsch",3,1,"monocultural german",2.85,,,
13457357,"6_G_Male_D.mp3",6,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"37_G_Male_A.mp3",37,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"56_VG_Fem_C.mp3",56,"list_1","bicultural viet-german","deutsch",2,0,"monocultural german",2.85,,,
13457357,"33_G_Male_C.mp3",33,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13457357,"52_G_Male_C.mp3",52,"list_1","monocultural german","deutsch",3,1,"monocultural german",2.85,,,
13457357,"22_VG_Male_C.mp3",22,"list_1","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.85,,,
13457357,"44_VG_Male_B.mp3",44,"list_1","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.85,,,
13457357,"47_G_Fem_D.mp3",47,"list_1","monocultural german","deutsch",4,1,"monocultural german",2.85,,,
13422590,"30_G_Fem_C.mp3",30,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"61_VG_Fem_B.mp3",61,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"29_G_Fem_D.mp3",29,"list_3","monocultural german","vietdeutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"59_VG_Fem_C.mp3",59,"list_3","bicultural viet-german","deutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"35_G_Male_D.mp3",35,"list_3","monocultural german","deutsch",5,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"5_G_Fem_C.mp3",5,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"26_VG_Male_C.mp3",26,"list_3","bicultural viet-german","vietdeutsch",3,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"2_VG_Male_B.mp3",2,"list_3","bicultural viet-german","vietdeutsch",3,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"31_G_Fem_B.mp3",31,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"39_G_Male_A.mp3",39,"list_3","monocultural german","deutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"27_VG_Male_B.mp3",27,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"50_G_Fem_C.mp3",50,"list_3","monocultural german","deutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"48_VG_Male_A.mp3",48,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"16_VG_Fem_C.mp3",16,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"44_VG_Male_D.mp3",44,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"40_VG_Fem_D.mp3",40,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"28_VG_Male_A.mp3",28,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"51_G_Fem_B.mp3",51,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"54_G_Male_C.mp3",54,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"8_G_Male_D.mp3",8,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
